phase,mode,condition,case_id,acc,tokens,latency_ms
1,none,C4,eval_013,0.4,15637.4,19058.20941500133
1,none,C4,eval_014,0.4,15523.4,18449.909654002116
1,none,C4,eval_015,0.8,15365.6,17221.091897001315
1,none,C4,eval_016,0.8,15508.2,18473.933480003325
1,none,C4,eval_017,0.2,15296.6,15595.952222996855
1,none,C4,eval_018,0.6,15517.8,18558.697926993773
1,none,C4,eval_019,0.8,15433.0,18212.96474099654
1,none,C4,eval_020,0.8,15384.0,15459.143680003765
1,none,C4,eval_021,1.0,15697.6,16895.710719996714
1,none,C4,eval_022,0.8,16009.8,17644.815705003566
1,none,C4,eval_023,0.6,15407.2,16379.731813001854
1,none,C4,eval_024,0.6,15734.2,18109.20289400383
1,none,C4,eval_025,0.4,15794.4,16958.378329996776
1,none,C4,eval_026,1.0,14125.6,14838.15777599375
1,none,C4,eval_027,1.0,14039.6,15459.373368998058
1,none,C4,eval_028,0.0,15322.4,16622.862749994965
1,none,C4,eval_029,0.8,15469.4,16124.86158899992
1,none,C4,eval_030,0.4,15808.4,18175.990743999137
1,none,C4,eval_031,0.0,18529.6,20259.38667699665
1,none,C4,eval_032,0.0,18666.4,21713.354700994387
1,none,C4,eval_033,0.0,16452.8,16393.38784100255
1,none,C4,eval_034,0.2,18356.6,18999.73682500422
1,none,C4,eval_035,0.2,17999.0,19576.336658996297
1,none,C4,eval_036,0.8,16893.2,19179.63708399475
1,none,C4,eval_037,0.0,17010.0,19456.709940997825
1,none,C4,eval_038,0.2,17312.6,18646.76206900185
1,none,C4,eval_039,0.0,16712.2,17812.613100999442
1,none,C4,eval_040,0.0,17337.6,19556.004905003647
1,none,S0,eval_001,1.0,11437.8,10123.699420000776
1,none,S0,eval_002,1.0,11847.8,10184.247738001432
1,none,S0,eval_003,1.0,9768.4,9810.860673998832
1,none,S0,eval_004,0.8,9097.6,9520.19277600266
1,none,S0,eval_005,1.0,9355.8,9542.488355000389
1,none,S0,eval_006,1.0,9187.6,9554.38882299859
1,none,S0,eval_007,1.0,9951.4,10592.060039001808
1,none,S0,eval_008,0.2,9158.0,9346.852950002358
1,none,S0,eval_009,1.0,10895.0,9830.200822001643
1,none,S0,eval_010,1.0,9156.4,9223.14918900156
1,none,S0,eval_011,0.6,9722.4,10798.866892997466
1,none,S0,eval_012,0.8,11534.0,11262.018555000395
1,none,S0,eval_013,1.0,9117.6,11007.2095070027
1,none,S0,eval_014,0.8,10211.0,10688.888483000484
1,none,S0,eval_015,0.6,12049.2,11404.463487997418
1,none,S0,eval_016,1.0,11002.6,10211.48485500089
1,none,S0,eval_017,1.0,12687.8,11511.016297001332
1,none,S0,eval_018,1.0,11441.0,11856.408512998314
1,none,S0,eval_019,0.8,10345.6,10189.48575500326
1,none,S0,eval_020,1.0,12027.4,11195.900238999457
1,none,S0,eval_021,1.0,15021.8,12404.352983001443
1,none,S0,eval_022,0.8,13332.6,11709.94130300096
1,none,S0,eval_023,0.2,13061.6,13601.17884400097
1,none,S0,eval_024,1.0,17522.2,16051.125015001162
1,none,S0,eval_025,0.6,12617.4,11801.433379998343
1,none,S0,eval_026,1.0,13931.4,11578.250842998386
1,none,S0,eval_027,0.6,13999.0,11808.346368998173
1,none,S0,eval_028,0.8,13865.0,14664.002058998449
1,none,S0,eval_029,0.4,13244.0,11904.991129002156
1,none,S0,eval_030,0.8,13818.2,12800.9733780018
1,none,S0,eval_031,0.8,14865.0,16402.620764998574
1,none,S0,eval_032,0.8,15880.2,14368.229075997078
1,none,S0,eval_033,1.0,10362.0,12890.581657997243
1,none,S0,eval_034,1.0,11175.4,14146.732893997978
1,none,S0,eval_035,0.8,10303.4,13194.837486000324
1,none,S0,eval_036,0.4,14607.0,13219.283536000148
1,none,S0,eval_037,0.6,12259.6,13774.159789001716
1,none,S0,eval_038,0.2,10045.8,12110.9461140004
1,none,S0,eval_039,1.0,9919.6,12485.20729399752
1,none,S0,eval_040,0.0,11931.0,14504.797992998649
